ID:1 rate:1;8.5;2;1;3;7.0;4;1;5;4;6;1;7;5;8;1;9;4;10;1.5;11;1;12;1;13;2;14;4;15;1;16;6;17;1;18;1;19;2;20;6;21;2;22;1;23;4;24;1;25;1;26;1;27;2;28;4;29;2;30;6;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:2 rate:1;4;2;2;3;1;4;4;5;2;6;2;7;4;8;8;9;8;10;8;11;1;12;2;13;4;14;6;15;2;16;3;17;2;18;1;19;2;20;1;21;1;22;2;23;2;24;5.0;25;1;26;1;27;3.5;28;1;29;6;30;10;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:3 rate:1;8;2;2;3;1;4;2;5;2;6;4;7;2;8;2;9;2;10;1;11;4;12;4;13;2;14;1;15;1;16;1;17;1;18;2;19;2;20;5.5;21;1;22;2;23;2;24;1;25;1.5;26;2;27;4;28;2;29;2;30;4;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:4 rate:1;1.5;2;1;3;1;4;1.5;5;4;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1.5;16;1;17;1;18;1;19;1;20;1;21;1;22;1;23;1;24;1;25;1;26;1.5;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:5 rate:1;1;2;1;3;1;4;1;5;1;6;1;7;1;8;1;9;1;10;1.5;11;1;12;1.5;13;1;14;1;15;1;16;1;17;4;18;1;19;1;20;1;21;1;22;1;23;1;24;1;25;1;26;1;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:6 rate:1;1;2;1;3;1;4;1;5;1;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1;16;1;17;1;18;4.5;19;1.5;20;1;21;1;22;1;23;1;24;1.5;25;1;26;1;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:7 rate:1;1;2;1;3;1.5;4;1;5;1;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1;16;1;17;1;18;1;19;1;20;1;21;1;22;1;23;3;24;1;25;1;26;1;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:8 rate:1;1.5;2;1;3;1;4;1;5;1;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1;16;1;17;1;18;1;19;1;20;1;21;1.5;22;1;23;1;24;1.5;25;1;26;1;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:9 rate:1;1;2;1;3;1;4;1;5;1;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1;16;1;17;1;18;1;19;1;20;1.5;21;1;22;1;23;1;24;1;25;1;26;1.5;27;1.5;28;1;29;1;30;1.5;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
ID:10 rate:1;1.5;2;1;3;18.0;4;1;5;1;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1;16;1;17;1;18;1;19;1;20;1;21;1;22;1;23;1;24;1;25;1;26;1;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1;73;1
